company_id,primary_reason,secondary_reason,category,confidence,evidence_quote,evidence_source_url,source_quality,model,enriched_at
fabius,Acquired by Fractional AI,,acquihire_wind_down,0.6,Fabius was acquired by Fractional AI!,https://web.archive.org/web/20260428/http://fabius.io/,founder_letter,claude-fable-5 (in-session),2026-07-17 11:43:04.506117
flike,Acquired by FirstQuadrant,,acquihire_wind_down,0.6,"FirstQuadrant, a leading AI sales platform, is excited to announce its acquisition of Flike.",https://web.archive.org/web/20260528/http://flike.app/,founder_letter,claude-fable-5 (in-session),2026-07-17 11:43:04.513335
hera,Announced shutdown on its own homepage roughly 14 months after batch; no reason given,,unknown,0.35,Hera is going to shut down on September 1st,https://web.archive.org/web/20220815/https://www.hera.so/,founder_letter,claude-fable-5 (in-session),2026-07-16 22:30:54.607325
launcher-labs,Joined Orange DAO; standalone product wound down,,acquihire_wind_down,0.5,we're joining forces with Orange DAO!,https://web.archive.org/web/20260528/http://launchcaster.xyz/,founder_letter,claude-fable-5 (in-session),2026-07-17 11:43:04.515293
moxion-power-co,Ran out of funding: failed to close a new round despite $110M+ raised; furloughed staff then shut down,Heavy capital requirements of battery hardware manufacturing,ran_out_of_funding,0.75,"Bay Area battery maker that raised $110M furloughs staff, shutdown likley",https://news.ycombinator.com/item?id=41104796,news,claude-fable-5 (in-session),2026-07-16 22:40:03.270305
neptyne,Wound down the hosted service after two years without stating a cause; product was open-sourced for the community,Graceful wind-down with a 4-month sunset window and data-export path,unknown,0.45,"After two years of running Neptyne as an online service, we have decided to shut down the company and as a result, will also shut down the service, both the core product and the google sheet add-on as well.",https://www.neptyne.com/blog/neptyne-is-shutting-down,founder_letter,claude-fable-5 (in-session),2026-07-16 22:30:54.603152
phind,Could not sustain a standalone AI coding search product against frontier-lab assistants; shut down with no official explanation,Signs of revenue distress shortly before shutdown (win-back discount emails to churned users),competition,0.55,"Got a ""please come back we'll give you a discount"" email a week or so back. I guess that was last attempt to stabilize things.",https://news.ycombinator.com/item?id=46594533,community,claude-fable-5 (in-session),2026-07-16 22:30:54.609076
quest,Shutdown announced by founder; no public explanation found,,unknown,0.25,Quest (YC S21) shuts down,https://news.ycombinator.com/item?id=30764597,community,claude-fable-5 (in-session),2026-07-16 22:30:54.610615
taste,COVID-era restaurant-support service wound down as the pandemic moment passed,Founders posted a farewell notice on the homepage after delivering $1M+ to NYC restaurants,market_timing,0.5,"With your help, we were able to deliver thousands of meals and over $1,000,000 to the best NYC restaurants during the COVID19 pandemic. Thank you for supporting NYC restaurants. So long, and farewell!",https://web.archive.org/web/20220328/http://tastenyc.co/,founder_letter,claude-fable-5 (in-session),2026-07-16 22:40:03.262804
thorntale,Announced shutdown for December 2025; no public reason stated,,unknown,0.45,Thorntale Presentations is shutting down in December 2025. Read the blog post here.,https://web.archive.org/web/20260428/http://thorntale.com/,founder_letter,claude-fable-5 (in-session),2026-07-17 11:43:04.516874
